Pruning Ratio (%),Simple avg,Paper,Normalized
0.0,0.986,0.986,0.986
10.0,0.982,0.982,0.982
20.0,0.982,0.982,0.982
30.000000000000004,0.986,0.986,0.986
40.0,0.978,0.978,0.978
50.0,0.976,0.976,0.976
60.00000000000001,0.976,0.976,0.976
70.0,0.922,0.922,0.922
80.0,0.818,0.818,0.818
90.0,0.678,0.678,0.678
