Pruning Ratio (%),Simple avg,Paper,Normalized
0.0,0.11000000000000001,0.11000000000000001,0.11000000000000001
10.0,0.11000000000000001,0.11000000000000001,0.11000000000000001
20.0,0.072,0.072,0.072
30.000000000000004,0.06,0.06,0.06
40.0,0.05600000000000001,0.05600000000000001,0.05600000000000001
50.0,0.082,0.082,0.082
60.00000000000001,0.078,0.078,0.078
70.0,0.074,0.074,0.074
80.0,0.11400000000000002,0.11400000000000002,0.11400000000000002
90.0,0.11200000000000002,0.11200000000000002,0.11200000000000002
