0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
4.894335527507924e-07,3.777442369571358e-07,2.147820227613879e-06,1.23007532571015e-06,7.458252795204796e-07,2.0312746694895247e-06,2.1952332619293802e-06,3.774048204583398e-06,1.2362467712983755e-06,1.8852092645463482e-06,2.2155389664583955e-06,1.3789409203769121e-06,1.3612020406087564e-06,3.4675134047251904e-06,1.5125053761348916e-06,1.6518307934171284e-07,7.033934648678427e-06,1.4873127408106336e-06,6.721210142003934e-07,7.684126299477063e-07,1.5896016426819829e-06,3.604371916471523e-06,5.24376171099082e-07,2.118099776411878e-06,1.8583771070418595e-06,4.0439854078679655e-06,2.054398597430305e-06,2.5385765212440827e-06,9.045527377805597e-07,2.1743738965262265e-06,2.023185819333259e-06,7.50468906949323e-07,2.5930706435947685e-06,2.357969535626294e-06,2.8656006724492477e-06,9.197782797096861e-07,4.115358810908205e-06,4.931476037491836e-07,1.0729295889091335e-06,1.679307672422966e-06,3.974047245576415e-06,1.649794130681547e-06,1.1968855902038346e-06,2.101744002798985e-06,7.13298473213091e-08,3.9154672220573195e-06,2.4605149175720947e-06,5.652112400682467e-07,3.812914312066744e-06,1.4539031293144574e-06,2.0414920139063977e-06,3.8131390557914327e-06,4.887734312602823e-07,2.7069557120815184e-06,1.0912544838536928e-07,3.1340988240082753e-06,1.2091429622061267e-06,9.157167075115798e-07,2.1477567301006817e-07,1.8974236039394783e-06,3.7183358918340347e-06,3.688730406183071e-07,9.712370674954819e-07,2.279881469379827e-06
1.6800626169158138e-07,2.547214043484668e-07,1.022005145721528e-06,2.2248140888590267e-07,2.0296344761323148e-08,7.63104071743814e-08,1.4595716117016565e-07,2.135383526323978e-07,3.5336035270111637e-07,3.7827857937771047e-07,2.7932135670660604e-07,4.4224742020509525e-07,3.0869424746896127e-07,3.517648495272669e-07,4.450845630665904e-08,5.482843815691669e-07,4.007865235856001e-08,3.7542681931346606e-07,8.727133581241184e-10,5.246236233689853e-07,3.112443585416416e-07,2.4957872114904837e-07,9.009005565886633e-08,4.2994880402400085e-07,6.513168263415712e-07,1.0458822694122191e-08,1.5484062221524437e-07,2.3812381991481657e-07,5.69413318347133e-08,8.136896189890258e-08,1.77784799015749e-08,1.5573162917052676e-08,2.793977809199115e-07,8.614218424646138e-07,3.4778141871529525e-07,1.1627628786291062e-08,1.5769522289773742e-07,1.998420841482002e-07,3.991591196973529e-07,1.6331468932226372e-08,2.1182673346950547e-09,4.292345800274463e-07,3.631071803923328e-07,4.493652395199389e-09,2.1932126983123349e-07,2.8924599171083237e-07,2.904105033716098e-08,3.1273787678975177e-07,1.5990231095858913e-07,3.6358840543183436e-07,1.0716389927220295e-07,5.099286697566983e-08,3.0865576578120226e-08,5.8481958138314135e-08,8.17632596155039e-07,4.301411952163291e-08,6.25170496482642e-07,4.732773106329717e-07,4.6670187150842335e-07,4.991710650808908e-08,9.541595562505104e-08,5.0396276852696284e-09,4.924533585111661e-07,1.9918735986935568e-07
7.221904924518951e-07,2.0672810068737687e-06,1.4546750093582374e-06,2.6696417042960467e-07,2.4233117378533127e-06,7.037399387310447e-07,1.553910318660718e-06,1.412002622683179e-06,1.1945761012263924e-06,1.8485944061174631e-06,2.7931568678690665e-06,2.2599250215157628e-06,1.6465132673216795e-07,2.5616395559107e-06,2.3174135026892077e-07,3.3698626412120967e-06,9.319860571653283e-07,7.859368153165764e-07,2.5892462704352997e-07,5.18277290580253e-06,7.261175377543907e-07,1.1232739073236564e-06,2.7571046136355377e-06,1.0439889921560048e-06,1.0977958560485465e-06,2.3665262030239986e-06,5.648328220619661e-07,6.241173246815572e-07,2.656426706208133e-06,1.0106329774746584e-06,2.103990814068704e-06,1.8335725224249253e-06,3.701581073293187e-06,4.3003726966631815e-06,9.700039212319792e-07,2.00485573247481e-06,3.588048401698223e-07,1.17196228591076e-06,3.07048126436377e-07,1.7199798838297239e-06,1.2827210555599602e-06,1.4185546430599104e-06,2.453269209092992e-06,2.6891749538771764e-06,1.5961461213198333e-06,1.1628991939289017e-06,8.438256805168436e-07,2.9081886196366057e-06,2.0514588623730907e-06,1.357139675106279e-06,7.725097787609353e-07,1.390538917887108e-06,1.549471573358415e-06,1.744200067900428e-06,4.704627192485318e-07,7.690775225459403e-07,2.0450571615236992e-07,1.6535553154038966e-06,8.610708063023067e-07,1.6471600423697305e-06,9.720488654048255e-08,2.7243753565619167e-06,7.736857180974112e-07,9.664117881742024e-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0529892681407594e-09,3.404156758276763e-08,6.891958295254459e-08,7.552651893949427e-08,1.5762149880598736e-07,1.109302740436669e-08,2.782948555235376e-07,1.528041892321584e-07,3.4482025029633447e-07,4.880051599111347e-07,3.693976258504304e-07,1.5123176778620533e-07,2.4473106483936496e-07,1.0360760042366725e-07,3.18418966723895e-07,8.161711863419853e-08,3.196660488180085e-08,2.595470942140542e-07,3.72300420120844e-07,8.299474063389542e-07,3.92520796435387e-08,8.549053982396345e-08,1.043195650446197e-07,8.135448032890027e-08,1.79914263590189e-07,3.07358827278004e-07,3.167201934212684e-08,6.852244909076482e-08,1.9027453847594444e-07,4.466437490032511e-07,6.448432245692887e-07,1.7378700596589879e-07,3.146048048931926e-07,5.828419479489677e-07,9.945496965795172e-08,4.939595728712005e-07,2.481077191621885e-07,2.1229153235063452e-08,5.032264669611004e-07,1.1702278626181058e-07,1.1989955451168949e-07,2.229135572042903e-07,2.578125879212212e-07,1.4820265639226997e-07,1.6410545304982124e-07,2.019802162674259e-07,3.9578460432094826e-08,1.2521314687273838e-07,7.168023860054569e-08,1.3115077621050591e-07,3.7647423885967243e-07,6.254346939704984e-08,8.941010246973181e-08,8.276961989557361e-08,8.436182415618301e-08,1.672457106119897e-07,9.950887218737937e-09,9.323008794122898e-09,1.6507218019939378e-07,1.1007663235341097e-07,5.36074052729322e-07,1.2706147343617085e-07,2.948481818622706e-07,5.960118576376519e-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.640497999239598e-07,2.519385708329126e-07,1.3837261382430148e-07,1.629045637788863e-07,1.9796786722902906e-08,3.4265834864924177e-07,6.870145728639992e-09,3.5008921450187686e-07,5.4935547571346845e-08,1.245027801524983e-07,5.0639858737677046e-08,1.893071433260404e-07,4.4960419937079533e-07,1.4890263940248821e-08,3.643190681269978e-07,3.7665827779329525e-07,1.1714619972149369e-09,1.9183545880226897e-07,5.995639105131631e-08,4.080973562066921e-07,1.649833315067387e-08,9.273251772901019e-08,4.209193278173237e-07,5.316395327370127e-08,4.2597012723768796e-07,4.5791252403584114e-07,9.923294088140715e-08,2.7279946895094344e-07,3.5309616771156424e-08,6.78871935156657e-07,3.877080106309596e-07,1.1897273758452721e-07,1.248796022236204e-07,2.6485432987610304e-07,4.541478005928771e-07,8.990249636187542e-08,1.9786491177862932e-07,1.1683186504910526e-07,3.066701118716597e-08,3.3602310719650106e-07,3.219526069306293e-07,1.312380733637661e-08,1.3419151378686062e-07,1.5623500401051628e-09,3.41953075099925e-07,3.48275201358891e-07,1.9745278517033687e-08,2.869753491987531e-07,4.7804088055893544e-08,4.959252600958444e-08,8.703007407979505e-08,9.958585968847678e-08,1.2575703453460466e-07,6.464616312334247e-07,2.7425731818395404e-07,9.037992169580518e-08,1.1838945935351853e-07,3.578870008790393e-07,1.929853596760228e-07,1.1588626950286168e-07,3.0527941209821985e-07,3.5352570673926596e-07,1.9553894516728726e-07,2.160356610726276e-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
